rq_id,theme,rq_text,required_evidence,potential_source_ids,collection_method,validation_method,expected_output,kg_entities,requirement_candidates
RQ-POLICY-06,Policy,Alignment with SDGs & Agenda 2063,Framework mapping,MSR-024;MSR-028,PDF,xref>=2,table,ENT-REGULATION,compliance-alignment
RQ-POLICY-07,Policy,Decentralisation policy & data implications,Policy & admin data impact,MSR-017;MSR-003,PDF,xref>=2,table,ENT-REGULATION,reference-data
RQ-POLICY-08,Policy,Investment-promotion priorities & incentives,Incentive schemes,MSR-014,PDF,recent,table,ENT-ORG,analytics-KPI
RQ-POLICY-09,Policy,Public-sector digitisation commitments,Commitments & targets,MSR-003;MSR-004,PDF,log-gaps,table,ENT-REGULATION,e-gov-integration
RQ-POLICY-10,Policy,Policy gaps/contradictions,Identified gaps,MSR-003;MSR-032,PDF,log-contra,table,ENT-REGULATION,analytics-KPI
RQ-DATA-01,Data-landscape,Which institutions publish authoritative stats & currency,Source inventory & recency,MSR-001;MSR-022;MSR-003,PORTAL/PDF,log-gaps,data-catalogue,ENT-DOCUMENT,data-ingestion-pipeline
RQ-DATA-02,Data-landscape,Which open-data portals exist & coverage,Portal inventory,MSR-036;MSR-003;MSR-022,PORTAL/API,log-gaps,data-catalogue,ENT-DOCUMENT,data-ingestion-pipeline
RQ-DATA-03,Data-landscape,Free geospatial/GIS datasets (boundaries/roads/land use),GIS dataset inventory,MSR-035;MSR-036;MSR-038;MSR-039,PORTAL/API/GIS,geo-consistency,data-catalogue;GIS-layer,ENT-DOCUMENT,GIS-baselayer
RQ-DATA-04,Data-landscape,Satellite/remote-sensing data for Zambia,EO dataset inventory,MSR-040;MSR-041,API/SATELLITE,log-gaps,data-catalogue,ENT-DOCUMENT,data-ingestion-pipeline
RQ-DATA-05,Data-landscape,Weather/climate datasets & APIs,Climate dataset inventory,MSR-042;MSR-043;MSR-044;MSR-013,API,log-gaps,data-catalogue,ENT-DOCUMENT,weather-integration
RQ-DATA-06,Data-landscape,Data licensing & usage restrictions,Licence terms per source,MSR-035;MSR-022;MSR-040,PORTAL/PDF,verify-licence,data-catalogue,ENT-DOCUMENT,data-governance
RQ-DATA-07,Data-landscape,Biggest data gaps theme x geography,Gap matrix,MSR-001;MSR-036,DERIVED,log-gaps,data-catalogue,ENT-DOCUMENT,data-ingestion-pipeline
RQ-DATA-08,Data-landscape,Update frequency per key dataset,Cadence per dataset,MSR-001;MSR-022;MSR-042,PORTAL,recent,data-catalogue,ENT-DOCUMENT,data-ingestion-pipeline
RQ-DATA-09,Data-landscape,Smallest reliable geographic unit per dataset,Granularity per dataset,MSR-001;MSR-037;MSR-038,PORTAL/GIS,geo-consistency,data-catalogue,ENT-DOCUMENT,reference-data
RQ-DATA-10,Data-landscape,Datasets ingestable directly vs manual,Ingestion method per dataset,MSR-022;MSR-036;MSR-043,API/PORTAL,method-note,data-catalogue,ENT-DOCUMENT,data-ingestion-pipeline
