cap_id,name,l1_domain,l2_group,industry,description,workflows,stakeholders,regulations,technologies,competitors,integrations,findings,maturity,confidence
CAP-151,Task & case management,Enterprise,Workflow Automation,cross-industry,Manage tasks/cases,WF-032,STK-029,,TECH-113,CMP-0229,,F-0079,Established,58
CAP-152,Approvals & authorisation,Enterprise,Workflow Automation,cross-industry,Route approvals,WF-032,STK-029,REG-0029,TECH-113,CMP-0230,,F-0079,Commodity,60
CAP-153,Audit logging & trail,Enterprise,Audit,cross-industry,Record immutable audit trail,WF-035,STK-022;STK-029,REG-0024,TECH-143,CMP-0174,INT-133,F-0077,Established,62
CAP-154,Compliance & obligation register,Enterprise,Compliance,cross-industry,Track compliance obligations,WF-035,STK-022;STK-029,REG-0024;REG-0034,TECH-130,CMP-0174,,F-0073,Established,58
CAP-155,Risk register & management,Enterprise,Compliance,cross-industry,Identify and manage risks,WF-035,STK-029;STK-018,,TECH-130,CMP-0174;CMP-0175,,F-0079,Established,54
CAP-156,Identity & authentication,Enterprise,Identity,cross-industry,Authenticate users/entities,WF-033,STK-023;STK-029,REG-0024,TECH-136,CMP-0132,INT-105;INT-108,F-0077,Commodity,68
CAP-157,Access control (RBAC/ABAC),Enterprise,Identity,cross-industry,Authorise access by role,WF-033,STK-029,REG-0024,TECH-139,CMP-0132,INT-108,F-0077,Commodity,66
CAP-158,Multi-factor authentication,Enterprise,Identity,cross-industry,Enforce MFA,WF-033,STK-029,REG-0024,TECH-138,,INT-113,F-0077,Established,64
CAP-159,User & organisation management,Enterprise,Identity,cross-industry,Manage users/orgs/tenants,WF-033,STK-029,,TECH-136,CMP-0132,INT-115,F-0077,Commodity,62
CAP-160,Offline data capture,Enterprise,Workflow Automation,cross-industry,Capture data offline in field,WF-033,STK-028;STK-048,,TECH-131;TECH-127,CMP-0176;CMP-0200,,F-0078,Established,66
CAP-161,Data synchronisation,Enterprise,Workflow Automation,cross-industry,Sync offline/online data,WF-033,STK-070,,TECH-127;TECH-129,CMP-0200,INT-133,F-0078,Growing,62
CAP-162,Geospatial mapping & visualisation,Enterprise,Analytics,cross-industry,Map and visualise spatial data,WF-003;WF-M03,STK-039;STK-047,,TECH-047;TECH-052,CMP-0048;CMP-0049,INT-057;INT-058,F-0075,Commodity,66
CAP-163,Master data management,Enterprise,Analytics,cross-industry,Govern master/reference data,WF-033,STK-070,,TECH-130,CMP-0119,,F-0079,Established,56
CAP-164,Search & discovery,Enterprise,Analytics,cross-industry,Search across records,WF-035,STK-029,,TECH-121;TECH-122,CMP-0121,,F-0079,Established,58
CAP-165,Scheduling & calendar,Enterprise,Workflow Automation,cross-industry,Schedule events/resources,WF-C05,STK-029,,TECH-113,CMP-0229,,F-0079,Commodity,56
CAP-166,KPI monitoring & alerting,Enterprise,Analytics,cross-industry,Monitor KPIs and alert,WF-035,STK-029;STK-039,,TECH-123,CMP-0123,INT-149,F-0079,Established,58
CAP-167,Incident & issue management,Enterprise,Audit,cross-industry,Manage incidents/issues,WF-M09;WF-C13,STK-018;STK-029,REG-0034,TECH-130,CMP-0173,,F-0058,Established,58
CAP-168,Knowledge base & advisory,Enterprise,Analytics,cross-industry,Serve knowledge/advisory content,WF-038;WF-039,STK-034;STK-028,,TECH-033;TECH-001,CMP-0001,INT-091,F-0055,Growing,60
CAP-169,Localisation & multi-language,Enterprise,Notifications,cross-industry,Support local languages,WF-038,STK-028,,TECH-021;TECH-023,CMP-0003,INT-092,F-0078,Growing,56
CAP-170,Data protection & consent management,Enterprise,Compliance,cross-industry,Manage consent and data rights,WF-033,STK-022;STK-028,REG-0024,TECH-140,,INT-105,F-0077,Established,58
